CityName,GeoAreaName,Place_Id,LastChangeDateTime,DaysFromUpdate,Description
Chicago,Bridgeport,73196,10/08/2016,177,Mapped
Chicago,Chatham,74863,10/08/2016,177,Mapped
Chicago,Bridgeport,74963,10/08/2016,177,Mapped
Chicago,Bridgeport,79514,10/08/2016,177,Mapped
Chicago,Englewood,34139,10/08/2016,177,Mapped
Chicago,Chatham,31023,10/08/2016,177,Mapped
Chicago,Bridgeport,80952,10/08/2016,177,Mapped
Chicago,Englewood,34185,10/08/2016,177,Mapped
Chicago,Englewood,34362,10/08/2016,177,Mapped
Chicago,West Garfield Park,83735,10/08/2016,177,Mapped
Chicago,Englewood,34360,10/08/2016,177,Mapped
Chicago,Bridgeport,79072,10/08/2016,177,Mapped
Chicago,Douglas,75290,10/08/2016,177,Mapped
Chicago,Bridgeport,69778,10/08/2016,177,Mapped
Chicago,Englewood,34462,10/08/2016,177,Mapped
Chicago,Englewood,34189,10/08/2016,177,Mapped
Chicago,Englewood,34155,10/08/2016,177,Mapped
Chicago,West Garfield Park,83733,10/08/2016,177,Mapped
Chicago,Englewood,34188,10/08/2016,177,Mapped
Chicago,Englewood,34433,10/08/2016,177,Mapped
Chicago,Bridgeport,71813,10/08/2016,177,Mapped
Chicago,Hyde Park,79114,10/08/2016,177,Mapped
Chicago,Chatham,31049,10/08/2016,177,Mapped
Chicago,Chatham,31048,10/08/2016,177,Mapped
Chicago,Bridgeport,61669,10/08/2016,177,Mapped
Chicago,West Garfield Park,83734,10/08/2016,177,Mapped
Chicago,Bridgeport,69265,10/08/2016,177,Mapped
Chicago,Chatham,31066,10/08/2016,177,Mapped
Chicago,Bridgeport,70976,10/08/2016,177,Mapped
Chicago,Bridgeport,72201,10/08/2016,177,Mapped
Chicago,Bridgeport,69731,10/08/2016,177,Mapped
Chicago,Hyde Park,75974,10/08/2016,177,Mapped
Chicago,Bridgeport,66486,10/08/2016,177,Mapped
Chicago,Hyde Park,74454,10/08/2016,177,Mapped
Chicago,Bridgeport,81514,10/08/2016,177,Mapped
Chicago,Bridgeport,72025,10/08/2016,177,Mapped
Chicago,West Garfield Park,88832,10/08/2016,177,Mapped
Chicago,Bridgeport,79069,10/08/2016,177,Mapped
