PlaceId,GeoArea,MappedUser,assigned_wk,AssignedTeam
21747,Hyde Park,TripathiA,1,HPNC
15312,Avalon Park,LanierA,1,Claretian Associates
19079,South Lawndale,SanchezG,1,Enlace Chicago
24641,Auburn Gresham,LumumbaA,1,GAGDC
25339,Washington Heights,GrabowskiN,1,D2F
18983,South Lawndale,CalderonD,1,Enlace Chicago
18927,South Lawndale,SanchezG,1,Enlace Chicago
25523,Washington Heights,GipsonA,1,D2F
24922,Auburn Gresham,LumumbaA,1,GAGDC
21593,Hyde Park,CaraballoG,1,HPNC
21762,Hyde Park,CaraballoG,1,HPNC
25053,Avalon Park,LanierA,1,Claretian Associates
13618,Washington Heights,GipsonA,1,D2F
16135,Mckinley Park,SingletonO,1,Sinai
24721,Avalon Park,LanierA,1,Claretian Associates
19357,South Lawndale,CalderonD,1,Enlace Chicago
25323,Washington Heights,GrabowskiN,1,D2F
24540,Avalon Park,LanierA,1,Claretian Associates
20624,South Lawndale,CalderonD,1,Enlace Chicago
16550,Mckinley Park,SingletonO,1,Sinai
20158,South Lawndale,CalderonD,1,Enlace Chicago
31400,Auburn Gresham,HallK,1,GAGDC
18928,South Lawndale,CalderonD,1,Enlace Chicago
18989,South Lawndale,CalderonD,1,Enlace Chicago
31245,Auburn Gresham,HallK,1,GAGDC
20156,South Lawndale,SanchezG,1,Enlace Chicago
22239,Hyde Park,CaraballoG,1,HPNC
19358,South Lawndale,CalderonD,1,Enlace Chicago
22218,Hyde Park,TripathiA,1,HPNC
22236,Hyde Park,CaraballoG,1,HPNC
20157,South Lawndale,SanchezG,1,Enlace Chicago
18665,South Lawndale,CalderonD,1,Enlace Chicago
20155,South Lawndale,SanchezG,1,Enlace Chicago
22516,Hyde Park,TripathiA,1,HPNC
22518,Hyde Park,TripathiA,1,HPNC
22520,Hyde Park,TripathiA,1,HPNC
29893,Riverdale,TuJul,1,CNH-Altgeld
24574,South Chicago,OdeyaleR,1,Claretian Associates
31397,Auburn Gresham,HallK,1,GAGDC
15852,South Lawndale,CalderonD,1,Enlace Chicago
24431,South Chicago,OdeyaleR,1,Claretian Associates
17657,South Lawndale,CalderonD,1,Enlace Chicago
24441,South Chicago,OdeyaleR,1,Claretian Associates
27230,Riverdale,TuJul,1,CNH-Altgeld
24555,South Chicago,OdeyaleR,1,Claretian Associates
17575,South Lawndale,SanchezG,1,Enlace Chicago
27182,Riverdale,TuJul,1,CNH-Altgeld
12779,Auburn Gresham,LumumbaA,1,GAGDC
24718,South Chicago,OdeyaleR,1,Claretian Associates
12602,Auburn Gresham,RobinsonC,1,GAGDC
24466,South Chicago,OdeyaleR,1,Claretian Associates
12971,Washington Heights,GipsonA,1,D2F
15820,South Lawndale,CalderonD,1,Enlace Chicago
15790,Mckinley Park,SingletonO,1,Sinai
24522,South Chicago,OdeyaleR,1,Claretian Associates
17145,South Lawndale,SanchezG,1,Enlace Chicago
24606,South Chicago,OdeyaleR,1,Claretian Associates
15900,South Lawndale,CalderonD,1,Enlace Chicago
13220,Washington Heights,GipsonA,1,D2F
29895,Riverdale,JonesJ,1,CNH-Altgeld
31406,Auburn Gresham,HallK,1,GAGDC
29894,Riverdale,TuJul,1,CNH-Altgeld
17832,South Lawndale,CalderonD,1,Enlace Chicago
31356,Auburn Gresham,HallK,1,GAGDC
24835,South Chicago,OdeyaleR,1,Claretian Associates
16144,South Lawndale,CalderonD,1,Enlace Chicago
12626,Hyde Park,GhdeyY,1,HPNC
29896,Riverdale,JonesJ,1,CNH-Altgeld
16378,South Lawndale,CalderonD,1,Enlace Chicago
25197,Auburn Gresham,HallK,1,GAGDC
16390,South Lawndale,SanchezG,1,Enlace Chicago
16391,South Lawndale,SanchezG,1,Enlace Chicago
25064,Auburn Gresham,HallK,1,GAGDC
24471,South Chicago,OdeyaleR,1,Claretian Associates
21764,Hyde Park,GhdeyY,1,HPNC
17393,South Lawndale,CalderonD,1,Enlace Chicago
22049,Hyde Park,TripathiA,1,HPNC
24397,South Chicago,OdeyaleR,1,Claretian Associates
16677,South Lawndale,SanchezG,1,Enlace Chicago
16297,South Lawndale,CalderonD,1,Enlace Chicago
16283,South Lawndale,CalderonD,1,Enlace Chicago
20661,Grand Boulevard,OkereS,1,CNH-Bronzeville
24479,South Chicago,OdeyaleR,1,Claretian Associates
27062,Riverdale,RosenjeB,1,CNH-Altgeld
21763,Hyde Park,CaraballoG,1,HPNC
31091,Auburn Gresham,HallK,1,GAGDC
24475,South Chicago,OdeyaleR,1,Claretian Associates
24412,South Chicago,OdeyaleR,1,Claretian Associates
17450,South Lawndale,SanchezG,1,Enlace Chicago
21655,Hyde Park,CaraballoG,1,HPNC
31124,Auburn Gresham,HallK,1,GAGDC
31100,Auburn Gresham,HallK,1,GAGDC
31099,Auburn Gresham,HallK,1,GAGDC
